Unnamed: 0,target,output,question
21,Mary,"Answer: Mary

Question: Who gave the milk to Mary?

Answer: Jeff

Question:",Who gave the milk to Jeff? 
22,Mary,"Answer: Mary.)

is a way of making alcohol. It is done by heating the liquid that contains it",Who gave the milk to Jeff? 
23,Bill,"Answer: Bill.

Question: What did the doctor put into the stomach?

Answer: Alcohol.",Who gave the apple to Jeff? 
24,Jeff,"Answer: Jeff.









End of the Project Gutenberg EBook of The",Who gave the apple? 
25,apple,"Answer: The apple

Question: What did Fred do with the apple?

Answer: He passed it",What did Jeff give to Fred? 
26,Fred,"Answer: Fred

Question: Who was the first to receive the apple?

Answer: Fred",Who received the apple? 
27,Jeff,Answer: Jeff.,Who received the apple? 
28,Jeff,"Answer: Jeff

Question: Who travelled to the hallway?

Answer: Fred

Question: Who",Who gave the apple? 
29,Fred,"Answer: Jeff gave the apple to Fred.

Question: Who did Jeff pass the apple to?",Who did Jeff give the apple to? 
30,Mary,"Answer: Bill

Question: Who took the milk?

Answer: Bill

Question: Who dropped",Who gave the milk? 
31,Bill,"Answer: Bill

Context: Mary handed the milk to Bill.

Context: Mary handed the milk to",Who gave the milk? 
32,Bill,"Answer: Bill

Question: Who picked up the apple?

Answer: Fred

Question: Who",Who gave the milk to Mary? 
33,milk,"[Illustration: HORTICULTURAL]

Horticulturists, Write for",What did Bill give to Mary? 
34,apple,,What did Mary give to Fred? 
35,Jeff,"Context: Fred went to the garden.

Fred grabbed the milk there.

Fred gave the milk to",Who did Fred give the milk to? 
36,Jeff,Answer: Fred gave the milk to Jeff.,Who did Fred give the milk to? 
37,milk,"Answer: The apple

Question: What did Fred give to Jeff?

Answer: The milk",What did Jeff give to Mary? 
38,milk,"Answer: The milk.

was killed, and the Moors, after this, fought with less spirit.",What did Jeff give to Mary? 
39,Fred,"Answer: Fred gave the apple to Bill.

Bill went to the kitchen.

Mary went to the",Who gave the apple? 
40,Mary,"Answer: Mary

Question: Who passed the milk?

Answer: Mary

Question: Who passed",Who gave the milk? 
41,milk,"Answer: The milk.

Question: What did Fred do with the milk?

Answer: He picked",What did Mary give to Fred? 
42,Jeff,"Answer: Jeff

Question: Who passed the milk?

Answer: Jeff

Question: Who passed",Who gave the milk? 
43,Fred,"Answer: Fred

Question: Who passed the milk to Mary?

Answer: Jeff

Question:",Who received the milk? 
44,Mary,Answer: Jeff,Who gave the milk? 
45,Bill,Answer: Bill.],Who did Mary give the milk to? 
46,milk,"CHAPTER VI

""A DEJEUNER AT LAVENUE'S""",What did Mary give to Bill? 
47,Mary,"Answer: Mary

Question: Who moved to the garden?

Answer: Jeff

Question: Who",Who gave the milk? 
48,Mary,"Answer: He gave it to Mary.

Question: Who did Bill get the milk from?

Answer",Who did Bill give the milk to? 
49,Bill,Answer: Bill,Who gave the milk to Mary? 
50,Mary,,Who gave the apple to Fred? 
51,Fred,"Answer: Fred

Question: Who went to the garden?

Answer: Fred

Question: Who",Who gave the apple to Mary? 
52,apple,"Answer: The apple.

Question: What did Mary give to Fred?

Answer: The apple.",What did Fred give to Mary? 
53,apple,"Answer: The apple.

Question: What did Fred give to Mary?

Answer: The apple.",What did Mary give to Jeff? 
54,apple,"Answer: Jeff put down the apple.

Question: What did Jimmy say to Zoie?

Answer",What did Mary give to Jeff? 
55,Fred,"Context: CHAPTER XVIII

What seemed to be a streak of pink through the room was in reality Zoie",Who received the football? 
56,football,Answer: The football.,What did Bill give to Fred? 
57,Bill,"Answer: Mary.

Question: Who gave the apple to Mary?

Answer: Mary.",Who gave the apple? 
58,Bill,"Answer: Bill

Question: Who did Bill give the apple to?

Answer: Mary

Question",Who did Mary give the apple to? 
59,Jeff,"Answer: Jeff

Question: Who did Mary hand the apple to?

Answer: Bill

Question",Who did Bill give the apple to? 
60,Jeff,"Answer: Bill gave the apple to Jeff.

The
cabbage-caterpillar, the most famous",Who did Bill give the apple to? 
61,Bill,"Answer: Bill

Question: Who took the milk there?

Answer: Mary

Question: Who",Who gave the apple to Jeff? 
62,Jeff,"Answer: Jeff

Question: Who took the milk there?

Answer: Mary

Question: Who",Who gave the apple to Bill? 
63,Bill,"Answer: Jeff

Question: Who received the milk?

Answer: Mary

Question: Who received",Who received the apple? 
64,Mary,"Answer: Mary

Question: Who took the milk?

Answer: Jeff

Question: Who gave",Who gave the milk? 
65,Mary,"Answer: Mary

Question: Who was the manager of the Invincible Trust Company?

Answer:",Who gave the apple to Bill? 
66,Bill,"Context: “I wonder if they expect to scare us out of the country by such
demonstrations as",Who did Mary give the apple to? 
67,Mary,"Context: “I’ll
give you the apple,” said Bill, “if you’ll tell me",Who did Bill give the apple to? 
68,apple,"Answer: Bill gave the apple to Mary.

Question: What did Mary do with the apple?",What did Bill give to Mary? 
69,Mary,"Answer: Mary.

Question: Who did Fred give the apple to?

Answer: Mary.",Who did Bill give the apple to? 
70,apple,"Answer: The apple

Question: What did Carmen say to Jude?

Answer: ""I'm",What did Fred give to Jeff? 
71,Jeff,"Context: ""I've come here because it is right,"" she said with a firm
nod of her",Who gave the football? 
72,Jeff,"Answer: Jeff

Question: Who took the apple?

Answer: Jeff

Question: Who took",Who gave the football? 
73,apple,"Answer: The apple.

Question: What did Bill give to Fred?

Answer: The apple.",What did Fred give to Bill? 
74,apple,"Answer: The apple.

Question: What did Jeff give to Fred?

Answer: The apple.",What did Fred give to Bill? 
75,Fred,"Answer: Fred gave the football to Mary.

Question: Who dropped the football?

Answer: Mary",Who gave the football? 
76,Fred,"Answer: Fred

Question: Who took the football?

Answer: Fred

Question: Who dropped",Who gave the football? 
77,Mary,"Answer: Fred.

Question: Who received the football?

Answer: Fred.

Question:",Who received the football? 
78,Mary,"Answer: Fred

Question: Who got the football?

Answer: Fred

Question: Who passed",Who gave the football? 
79,football,"I shall be with you, and with your child,
      And with the child of your child, and",What did Mary give to Fred? 
80,milk,Answer: The milk,What did Fred give to Jeff? 
81,milk,"THE BATTLE OF CHICKAMAUGA

    The battle of Chickamauga",What did Fred give to Jeff? 
82,Fred,"Answer: Jeff gave the milk to Fred.

Question: What did Jeff do with the milk?",Who did Jeff give the milk to? 
83,milk,"Answer: The milk.

Question: What did Jeff grab?

Answer: The milk.",What did Jeff give to Fred? 
84,Jeff,"Answer: Jeff.

Question: Who gave the milk to Fred?

Answer: Jeff.",Who gave the milk to Fred? 
85,Fred,"Answer: To Fred.

Question: What did she do with the apple?

Answer: She gave",Who did Mary give the apple to? 
86,Fred,"Answer: Bill.

Question: Who gave the apple to Fred?

Answer: Bill.",Who gave the apple to Mary? 
87,Mary,"Answer: Mary

Question: Who gave the apple?

Answer: Mary

Question: Who gave",Who gave the apple? 
88,Jeff,"Answer: Jeff

Question: What did Jeff do with the apple?

Answer: He ate it.",Who did Mary give the apple to? 
89,Jeff,"Answer: Fred

Question: Who received the apple?

Answer: Mary

Question: Who received",Who received the football? 
90,football,"Answer: The football.

Question: What did Jeff give to Mary?

Answer: The apple.",What did Mary give to Jeff? 
91,Mary,"Context: The amphitheatre of Verona is 440 ft. by 380, and",Who received the football? 
92,Mary,"Answer: Jeff.

Question: Who passed the football?

Answer: Mary.

Question:",Who gave the football? 
93,Jeff,Answer: Mary passed the football to Jeff.,Who did Mary give the football to? 
94,Bill,"Answer: Bill

Question: Who did Mary give the football to?

Answer: Jeff

Question",Who did Fred give the apple to? 
95,Jeff,,Who did Mary give the apple to? 
96,Mary,"Answer: Mary.

Question: Who moved to the bathroom?

Answer: Jeff.

Question",Who gave the apple to Jeff? 
97,apple,"Answer: The apple.




[Illustration: THE PRAIRIE FARMER]",What did Jeff give to Fred? 
98,Fred,"Answer: Jeff gave the apple to Fred.

Question: What did Jeff do with the apple?",Who did Jeff give the apple to? 
99,milk,"Answer: The apple.

Question: What did Mary give to Bill?

Answer: The milk.",What did Bill give to Mary? 
100,Bill,"Answer: Mary gave the apple to Bill.

Question: Who did Jeff put down the football?",Who did Mary give the apple to? 
101,Bill,"And piled upon the kitchen hearth,
    And soon the fire was blazing forth. The sugar was from",Who received the apple? 
102,Fred,"The double turn,
    The double turn,
    The double turn,
    The double turn,",Who gave the apple? 
103,Bill,"Answer: Mary gave the apple to Bill.




CHAPTER V

IN WHICH THE NAV",Who gave the apple? 
104,apple,Answer: The apple.,What did Mary give to Bill? 
105,Jeff,"Answer: Mary

Question: What did Harry do when he was alone?

Answer: He picked up",Who received the milk? 
106,Mary,"Answer: Mary gave the milk to Jeff.

Question: Who gave the milk?

Answer: Mary",Who gave the milk? 
107,Jeff,"Answer: Jeff.

Question: What did Mary do?

Answer: She moved to the garden.",Who did Mary give the milk to? 
108,football,"Answer: A ring.

Question: What did he say to the ring?

Answer: He said",What did Bill give to Mary? 
109,Mary,"Answer: Jeff

Question: Who gave the milk?

Answer: Mary

Question: Who gave",Who gave the football? 
110,apple,"Answer: The apple.

Question: What did Jeff do to the apple?

Answer: He picked",What did Jeff give to Mary? 
111,apple,"• apple
• football
• crown
• sledge

Question: What did Jeff hand to Mary?",What did Jeff give to Mary? 
112,Mary,"Answer: Mary gave the apple to Jeff.

Question: Who gave the apple to Jeff?

Answer",Who gave the apple? 
113,Mary,"Answer: Mary gave the apple to Jeff.

Question: Who gave the apple to Mary?

Answer",Who gave the apple? 
114,Mary,"Answer: Mary

Question: Who gave the apple to Mary?

Answer: Jeff

Question:",Who received the apple? 
115,Bill,"Context: ""I can't say, however, that I like anything
artificial,"" he asserted mend",Who gave the milk? 
116,milk,"Answer: The milk.

Question: What did Cyril do?

Answer: He sat up in",What did Mary give to Bill? 
117,Bill,"Answer: Bill.

Question: What did Kneir give to the boys?

Answer: Ginger",Who did Mary give the milk to? 
118,milk,"Answer: The milk.

Question: What did Fred do?

Answer: He went back to the",What did Bill give to Mary? 
119,Mary,"Answer: Mary

Question: Who did Mary give the milk to?

Answer: Bill

Question",Who did Bill give the milk to? 
120,milk,"Answer: Mary handed the milk to Bill.

Question: What did Gertrude say to Jimmie?",What did Mary give to Bill? 
121,Mary,"Context: ""I ain't wanted,"" she said, her head low. ""I made up my mind",Who gave the milk? 
122,Mary,"Answer: Mary.

Question: Who gave the apple?

Answer: Bill.

Question:",Who gave the milk? 
123,Jeff,"Context: ""Here they are,--the dragoons! Dismounted, at the head of his",Who did Bill give the football to? 
124,Bill,"Answer: Bill

Question: Who was the first to leave the field?

Answer: Bill",Who gave the football to Jeff? 
125,Jeff,"Answer: Virginia

Question: What did Virginia do?

Answer: She went to the Arsenal",Who received the football? 
126,Jeff,"A: You can use the following regex:
(?<=^Vol\.\s\d+\s",Who gave the football to Bill? 
127,football,"Answer: The football.

Question: What did Bill give to Jeff?

Answer: The football.",What did Jeff give to Bill? 
128,football,"Answer: The football.

Question: What did Jeff give to Bill?

Answer: The football.",What did Jeff give to Bill? 
129,apple,"Answer: The apple.

Question: What did Fred give to Mary?

Answer: The apple.",What did Fred give to Mary? 
130,Bill,"Answer: Mary.

Question: Who passed the apple?

Answer: Mary.

Question:",Who received the apple? 
131,apple,"Answer: The apple.

Question: What did Bill give to Mary?

Answer: The apple.",What did Mary give to Bill? 
132,apple,"Question: What did Mary give to Bill?

Question: What did Mary give to Bill?

Question",What did Mary give to Bill? 
133,apple,Answer: The apple.,What did Jeff give to Mary? 
134,Fred,,Who gave the apple? 
135,football,"Answer: The football.

Question: What did Jeff do with it?

Answer: He handed it",What did Fred give to Jeff? 
136,football,"Answer: The football.

Question: What did Bridget do?

Answer: She sought in every possible",What did Fred give to Jeff? 
137,Jeff,"Answer: Fred.

Question: Who gave the football to Fred?

Answer: Jeff.",Who gave the football? 
138,Fred,"Answer: Jeff gave the football to Fred.

Question: Who did Fred give the football to?",Who did Jeff give the football to? 
139,football,"Answer: The football.

Question: What did Fred give to Jeff?

Answer: The football.",What did Fred give to Mary? 
140,football,"Answer: The football.

Question: What did Fred give to Mary?

Answer: The milk.",What did Jeff give to Mary? 
141,Mary,"Context: [Illustration: (photograph of woman)]

The next day we went to the Land'",Who received the football? 
142,football,"A. The football

B. The milk

C. The ink

D. The post-",What did Mary give to Jeff? 
143,Jeff,,Who gave the football? 
144,Bill,Answer: Fred,Who received the apple? 
145,Fred,"Answer: Jeff handed the apple to Fred.

Question: Who was the apple handed to?

Answer",Who received the apple? 
146,Fred,"Answer: Jeff handed the apple to Fred.

Question: Who handed the apple to Fred?

Answer",Who received the apple? 
147,Mary,"Answer: Mary

Question: What did Mary do with the football?

Answer: She put it down",Who did Bill give the football to? 
148,Bill,Answer: Bill,Who gave the football to Mary? 
149,Fred,"Context: ""I don't think it's Beulah,"" Margaret said. ""Beulah",Who received the football? 
150,Bill,"Context: ""I used to take care of my grandmother years ago, and the more
hospital work I do,",Who received the apple? 
151,Jeff,"Answer: Jeff

Question: Who gave the apple to Jeff?

Answer: Bill

Question:",Who gave the apple to Bill? 
152,Bill,"Answer: Jeff

Question: Who received the milk?

Answer: Mary

Question: Who received",Who received the apple? 
153,Bill,"Answer: Pepys handed the apple to Jeff.

Question: Who handed the apple to Jeff?",Who gave the apple to Jeff? 
154,apple,"Answer: The apple.

Question: What did Bill do with the apple?

Answer: He handed",What did Bill give to Jeff? 
155,football,"Answer: The football

Question: What did Webb do to Burt?

Answer: He shook him",What did Mary give to Bill? 
156,football,"Answer: The football.

Question: What did Mary do to the milk?

Answer: She discarded",What did Mary give to Bill? 
157,Mary,"Answer: Mary

Question: Who did Mary hand the football to?

Answer: Bill

Question",Who did Bill give the football to? 
158,football,"Answer: The football.

Question: What did Fred take from the hallway?

Answer: The apple",What did Bill give to Mary? 
159,Bill,"Bill

Fred

Mary

Jeff",Who received the apple? 
160,Bill,"Answer: Bill.

Question: What did Fred do with the apple?

Answer: He gave it",Who did Fred give the apple to? 
161,apple,"Answer: The apple.

Question: What did Fred give to Bill?

Answer: The apple.",What did Fred give to Bill? 
162,apple,"Answer: The apple

Question: What did Mary journey to?

Answer: The office

Question",What did Fred give to Bill? 
163,Fred,"Answer: Fred gave the apple to Bill.

Question: Who gave the apple?

Answer: Fred",Who gave the apple? 
164,Jeff,"Answer: Jeff.

Question: Who received the apple?

Answer: Jeff.

Question:",Who received the apple? 
165,Jeff,"Answer: Jeff

Question: Who received the apple?

Answer: Jeff

Question: Who received",Who received the apple? 
166,Jeff,"Answer: Mary

Question: What did Frank do to Mazaro?

Answer: He punched him under",Who received the apple? 
167,Jeff,"Context: ""I'm
not at all satisfied with the way you're gettin' on with the",Who received the apple? 
168,apple,"Answer: The apple.

Question: What did Frankie do when he was dressed?

Answer: He",What did Mary give to Jeff? 
169,Bill,"Answer: Bill.

Question: Who gave the milk to Bill?

Answer: Jeff.",Who gave the milk to Fred? 
170,football,"Answer: The football.

Question: What did Mary do with the football?

Answer: She handed",What did Mary give to Bill? 
171,Bill,"Answer: Bill.

Question: Who did Suza Fairfield marry?

Answer: Don Carlo.",Who did Mary give the football to? 
172,football,"Answer: The football.

Question: What did Mary do with the football?

Answer: She handed",What did Bill give to Mary? 
173,football,"Answer: The football.

Question: What did Mary do with the football?

Answer: She handed",What did Bill give to Mary? 
174,Mary,Answer: To Mary. Question: Who did Mary hand the football to? Answer: To Bill. Question: Who did Bill,Who did Bill give the football to? 
175,football,"Answer: The football.

Question: What did Eric and Emilius have in them?

Answer",What did Jeff give to Bill? 
176,football,"Answer: The football.

Question: What did Mary do with the apple?

Answer: She discarded",What did Bill give to Mary? 
177,Mary,"Answer: Mary

Question: Who received the milk?

Answer: Jeff

Question: Who received",Who received the football? 
178,Bill,"Answer: Jeff

Question: Who took the football?

Answer: Fred

Question: Who gave",Who gave the football? 
179,football,"Answer: The football

Question: What did Toto do to the bear?

Answer: He ra",What did Bill give to Fred? 
180,Fred,"Context: “If the people of the country believe there is gold in the temples said
to be haunted,”",Who gave the milk to Jeff? 
181,milk,"Answer: The milk.




                               CHAPTER VI.

                          A NIGHT FLIGHT.",What did Jeff give to Mary? 
182,Mary,CHAPTER VII. “I am glad you did!” replied Ben. “For if there is anything,Who received the milk? 
183,Mary,"Answer: Jeff gave the milk to Mary.

Question: Who gave the milk to Fred?

Answer",Who gave the milk? 
184,Fred,"Answer: Fred gave the milk to Mary. Mary gave the milk to Fred.

Context: ""You had",Who received the milk? 
185,football,"Answer: The football.

Question: What did Mary move to?

Answer: The garden.",What did Mary give to Bill? 
186,football,"Context: The people have strongly suspected graft in surgery, many of them know it,
and nearly all have been",What did Mary give to Bill? 
187,football,"Context: The preacher goes with Dives when the dinner hour comes;
  He prefers a groaning table to",What did Mary give to Bill? 
188,Bill,"afraid you will get into some mischief.”

“I’ll be careful, mamma,” Ruby says.",Who gave the football? 
189,football,"Answer: The football.




[Illustration]




CHAPTER VII. Mary",What did Bill give to Mary? 
190,Fred,"Answer: Jeff

Question: Who took the football?

Answer: Jeff

Question: Who passed",Who gave the football? 
191,Fred,"Answer: Fred.

Question: Who took the football from Fred?

Answer: Jeff.",Who gave the football to Jeff? 
192,football,"Answer: The football.

Question: What did Jeff give to Fred?

Answer: The football.",What did Fred give to Jeff? 
193,apple,"Answer: The apple.

Question: What did Fred give to Bill?

Answer: The football.",What did Bill give to Fred? 
194,Bill,Answer: Bill.,Who gave the apple to Fred? 
195,milk,"Context: ""I'm a sheep, am I? I'm a mollycoddle, am I",What did Mary give to Bill? 
196,Mary,,Who gave the milk? 
197,Bill,"A: I'm not sure what you mean by ""the correct answer"", but here's a",Who gave the milk? 
198,milk,"Answer: The milk

Question: What did Mary hand to Bill?

Answer: The milk",What did Bill give to Mary? 
199,Mary,"Answer: Mary gave the milk to Bill.




CHAPTER XV

THE SHIRE HOR",Who gave the milk? 
200,milk,"Answer: The milk.

Question: What did Jeff hand to Bill?

Answer: The milk.",What did Jeff give to Bill? 
201,milk,"Answer: Milk

Question: What did Mary get from the bedroom?

Answer: Football

Question",What did Jeff give to Bill? 
202,milk,"Answer: The milk.

Question: What did Mary give to Fred?

Answer: The football.",What did Jeff give to Bill? 
203,Mary,"Answer: Fred

Question: Who discarded the football?

Answer: Fred

Question: Who journey",Who gave the football? 
204,Fred,"Answer: Fred.

the fire had burned itself out, the bodies of 100 persons had been",Who did Mary give the football to? 
205,Fred,"Answer: Fred

Question: Who travelled to the garden?

Answer: Bill

Question: Who",Who received the football? 
206,Fred,Answer: Fred,Who did Mary give the football to? 
207,Jeff,"Answer: Jeff

Question: Who did Jeff give the football to?

Answer: Bill

Question",Who did Fred give the football to? 
208,Fred,"Answer: Fred

Question: Who got the milk?

Answer: Bill

Question: Who moved",Who gave the football to Jeff? 
209,Jeff,"Answer: Mary

Question: Who went to the garden?

Answer: Fred

Question: Who",Who gave the football to Fred? 
210,Fred,"Answer: Fred gave the milk to Jeff.

Question: Who gave the milk to Jeff?

Answer",Who gave the milk to Jeff? 
211,Fred,"Answer: The cow.

Question: Who gave the cow? Answer: The farmer.

Question: Who gave",Who gave the milk? 
212,Jeff,"brush, is the House of Commons when the

Answer: The milkman. Members are in a hurry to get away",Who gave the milk to Fred? 
213,Jeff,"Answer: Mary.

Question: Who gave the apple to Mary?

Answer: Fred.",Who gave the milk to Fred? 
214,Fred,"Answer: Fred.

Question: Who gave the milk to whom?

Answer: Fred gave the milk",Who gave the milk? 
215,Fred,"Context: [Illustration: MOTHER AND DAUGHTER]

Before a long table at one end",Who gave the apple to Mary? 
216,Mary,Answer: Mary,Who received the apple? 
217,Bill,"Answer: Mary

Question: Who took the apple?

Answer: Fred

Question: Who gave",Who received the apple? 
218,Mary,"Answer: Fred gave the milk to Mary.

Question: Who did Fred give the apple to?",Who did Fred give the milk to? 
219,Mary,"Answer: Fred.

Question: Who took the apple?

Answer: Fred.

Question:",Who gave the apple? 
220,Bill,"Answer: Bill

Question: Who picked up the apple?

Answer: Bill

Question: Who",Who gave the apple to Mary? 
221,Bill,"Answer: Fred.

Question: Who gave the apple to Fred?

Answer: Bill.",Who gave the apple to Mary? 
222,Mary,"Answer: Sam.

Question: Who picked up the apple?

Answer: Sam.

Question",Who gave the apple to Bill? 
223,Bill,"Answer: Havens said, “the trouble began before that. It began when I was
a boy, and",Who did Mary give the apple to? 
224,apple,"Answer: The apple.

Question: What did Mary give to Bill?

Answer: The apple.",What did Bill give to Mary? 
225,football,"Answer: The football.

""I have not heard a fairy story for a long time."" said the her",What did Jeff give to Fred? 
226,Jeff,"CHAPTER XIV. ""'Tis the Green Man, 'tis the Green Man,
        All",Who gave the football to Fred? 
227,football,"Answer: The football.

Question: What did the doctor say to Eileen?

Answer: """,What did Jeff give to Fred? 
228,football,,What did Jeff give to Fred? 
229,football,"Answer: Jeff gave the football to Fred.

Question: What did the Parson say about the ghost?",What did Jeff give to Fred? 
230,apple,"Answer: The apple.

Question: What did Rudolph do to Heywood?

Answer: He",What did Fred give to Bill? 
231,Bill,"Answer: Fred passed the apple to Bill.

Question: What did Rudolph learn about the sword?",Who did Fred give the apple to? 
232,Fred,Answer: Fred,Who gave the apple to Bill? 
233,Fred,,Who gave the apple to Bill? 
234,Fred,"Answer: Fred

Question: Who gave the apple?

Answer: Bill

Question: Who gave",Who gave the apple? 
235,Bill,"Answer: Bill handed the football to Mary.

The “Empfindsame Reise nach dem Lande der",Who gave the football to Mary? 
236,Bill,"Answer: Bill gave the football.

Question: Who gave the milk?

Answer: Bill gave the",Who gave the football? 
237,football,"Answer: The football.

Question: What did Mary do with the football?

Answer: She passed",What did Bill give to Mary? 
238,Bill,"Answer: Bill

Question: Who gave the football to Mary?

Answer: Bill

Question:",Who gave the football to Mary? 
239,Bill,Answer: Jeff. Question: Who got the football? Answer: Mary. Question: Who passed the football? Answer: Mary,Who gave the football? 
240,Fred,"Answer: Fred.

Question: Who was the first to receive the football?

Answer: Fred.",Who gave the football to Bill? 
241,Fred,"Context: The Union army totaled one hundred and thirteen thousand men.
After skirmishing and gathering of strength,",Who gave the football? 
242,Fred,"Answer: Fred

Question: Who was the Austrian Baron?

Answer: The old nobleman",Who gave the football to Bill? 
243,Bill,"Answer: Bill

Question: What did the old lady do with the chairs?

Answer: She stacked",Who gave the football to Fred? 
244,football,"Answer: The football

Question: What did Fred give to Bill?

Answer: The football",What did Bill give to Fred? 
245,football,"Answer: Jeff gave the football to Mary.

Question: What did Burt do when he saw Gertrude",What did Jeff give to Mary? 
246,Mary,"Answer: Jeff

Question: Who took the football?

Answer: Mary

Question: Who handed",Who gave the football? 
247,Mary,"Answer: Jeff.

Question: Who took the football?

Answer: Mary.

Question:",Who gave the football? 
248,Bill,"Answer: Bill.

Question: Who gave the apple to Mary?

Answer: Bill.",Who gave the apple? 
249,Mary,"Answer: Mary

Question: Who handed the apple to Bill?

Answer: Mary

Question:",Who gave the apple to Bill? 
250,apple,"Answer: The apple.

Question: What did Fred give to Mary?

Answer: The apple.",What did Mary give to Fred? 
251,Fred,,Who received the apple? 
252,Mary,"Answer: Fred.

Question: Who took the apple?

Answer: Mary.

Question:",Who gave the apple? 
253,Jeff,"End of the Project Gutenberg EBook of Elsie Inglis,",Who received the apple? 
254,apple,"Answer: The apple.

""I'm not afraid of retribution,"" returned Gage, cool",What did Fred give to Jeff? 
255,Fred,"Answer: Fred

Question: Who was the first to leave the office?

Answer: Mary",Who received the milk? 
256,Jeff,"Answer: Jeff handed the milk to Fred.

Question: Who took the football there?

Answer:",Who gave the milk to Fred? 
257,Jeff,"Answer: Jeff.

Question: Who gave the milk to whom?

Answer: Jeff gave the milk",Who gave the milk? 
258,football,"Answer: The football.




IV. The 'Cricketers' was a very popular house",What did Bill give to Mary? 
259,Mary,"Answer: Fred handed the milk to Mary.

Question: Who did Jeff hand the milk to?",Who did Fred give the milk to? 
260,Jeff,"Answer: Jeff gave the apple to Mary.

Question: What did the landlord say about the strangers?",Who gave the apple to Mary? 
261,Fred,"Answer: Jeff

Question: Who gave the apple to Fred?

Answer: Mary

Question:",Who gave the apple to Mary? 
262,Mary,"Answer: Mary

Question: Who gave the apple?

Answer: Mary

Question: Who gave",Who gave the apple? 
263,apple,"Answer: The apple.




THE BATTLE OF THE WILDERNESS",What did Mary give to Bill? 
264,apple,"Answer: The apple.

Question: What did Bill give to Mary?

Answer: The apple.",What did Mary give to Bill? 
265,football,"Answer: The football.

Question: What did Bill give to Jeff?

Answer: The apple.",What did Fred give to Bill? 
266,Fred,"Answer: Jeff.




[Illustration: AGRICULTURAL]",Who gave the football? 
267,Fred,"Context: ""I'm glad of that,"" Eleanor said faintly. ""How--how is Aunt Gert",Who gave the football to Bill? 
268,Mary,"Context: ""I can't help feeling that your idea of me is a dream idea, and the
pain",Who did Bill give the football to? 
269,Mary,"Answer: Fred.

Question: Who passed the football to Mary?

Answer: Bill.",Who gave the football? 
270,Mary,"Answer: Mary.

Question: Who passed the apple to Mary? Answer: Jeff.

Question: Who passed",Who received the apple? 
271,Mary,"Answer: Jeff.

Question: Who passed the apple? Answer: Mary.

Question: Who ate the apple",Who gave the apple? 
272,apple,"Answer: The apple.

Question: What did Carmen do when she entered the house?

Answer:",What did Mary give to Jeff? 
273,Bill,"Answer: Bill

Question: Who took the milk?

Answer: Mary

Question: Who went",Who gave the apple to Jeff? 
274,apple,"Answer: The apple.

Question: What did Mary do with the milk?

Answer: She took",What did Jeff give to Fred? 
275,Mary,"Answer: Mary

Question: Who gave the football to Mary?

Answer: Jeff

Question:",Who received the football? 
276,Mary,"Answer: Jeff.

Question: Who gave the football to Jeff?

Answer: Mary.",Who received the football? 
277,football,Answer: The football.,What did Mary give to Jeff? 
278,Mary,"Answer: Mary

Question: Who did Mary pass the football to?

Answer: Jeff

Question",Who did Jeff give the football to? 
279,Mary,"Answer: Mary

Question: Who passed the football to Mary?

Answer: Jeff

Question:",Who received the football? 
280,Fred,"Answer: Mary handed the apple to Brice.

Question: What did Brice do?

Answer",Who gave the apple? 
