,target,output,result,question
46,apple, Mary gave the apple to Jeff.,1.0,What did Mary give to Jeff? 
47,Jeff, Croyden,0.0,Who gave the apple? 
48,Fred, Bill gave the milk to Fred.,1.0,Who gave the milk? 
49,Jeff, Jeff,1.0,Who received the milk? 
50,Jeff, Jeff,1.0,Who received the apple? 
51,Jeff, Jeff,1.0,Who did Mary give the apple to? 
52,Mary, Mary,1.0,Who received the apple? 
53,Bill, Bill,1.0,Who did Fred give the apple to? 
54,football, Mary gave the football to Fred.,1.0,What did Mary give to Fred? 
55,milk, Mary gave Jeff the milk.,1.0,What did Mary give to Jeff? 
56,Mary, Jeff,0.0,Who received the football? 
57,Mary, Mary,1.0,Who gave the football? 
58,Mary, Jeff,0.0,Who gave the apple? 
59,apple, The apple,1.0,What did Mary give to Bill? 
60,Bill, Bill,1.0,Who gave the apple to Fred? 
61,apple, Mary gave the apple to Jeff.,1.0,What did Mary give to Jeff? 
62,Mary, Mary,1.0,Who did Bill give the football to? 
63,Mary, Mary,1.0,Who gave the apple? 
64,Jeff, Jeff,1.0,Who gave the apple to Fred? 
65,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
66,apple, Fred gave an apple to Bill.,1.0,What did Fred give to Bill? 
67,milk, Milk,1.0,What did Jeff give to Fred? 
68,Fred, Mary gave the football to Fred.,1.0,Who did Mary give the football to? 
69,Fred, Jeff,0.0,Who received the football? 
70,Mary, Jeff,0.0,Who received the apple? 
71,football, Fred handed the football to Mary.,1.0,What did Fred give to Mary? 
72,football, Bill gave the football to Fred.,1.0,What did Bill give to Fred? 
73,football, The football,1.0,What did Fred give to Jeff? 
74,apple, Mary gave an apple to Fred.,1.0,What did Mary give to Fred? 
75,Mary, Mary,1.0,Who did Bill give the football to? 
76,Fred, Bill,0.0,Who gave the apple? 
77,apple, Fred gave Bill an apple.,1.0,What did Fred give to Bill? 
78,apple, Bill gave an apple to Mary.,1.0,What did Bill give to Mary? 
79,Bill, Bill,1.0,Who gave the apple to Mary? 
80,Fred, Fred,1.0,Who gave the apple to Bill? 
81,Jeff, The lady,0.0,Who gave the milk? 
82,Fred, Fred,1.0,Who gave the apple to Bill? 
83,Bill, Jeff gave the apple to Bill.,1.0,Who did Jeff give the apple to? 
84,Bill, Bill,1.0,Who gave the apple? 
85,Jeff, Mary,0.0,Who received the milk? 
86,Fred, Jeff,0.0,Who received the milk? 
87,Fred, Croyden,0.0,Who gave the apple? 
88,Mary, Mary,1.0,Who did Jeff give the football to? 
89,Bill, Bill,1.0,Who gave the apple to Fred? 
90,Bill, Bill,1.0,Who gave the apple to Jeff? 
91,milk, Mary gave the apple to Fred.,0.0,What did Mary give to Fred? 
92,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
93,Bill, Jeff,0.0,Who gave the football? 
94,Mary, The lady,0.0,Who gave the milk? 
95,Bill, Bill,1.0,Who did Mary give the apple to? 
96,apple, Bill gave an apple to Jeff.,1.0,What did Bill give to Jeff? 
97,apple, Bill gave Fred a football.,0.0,What did Bill give to Fred? 
98,Fred, Bill,0.0,Who received the football? 
99,Mary, Mary,1.0,Who received the football? 
