Unnamed: 0,target,output,question
78,bathroom,"Answer: The garden is west of the bedroom.

Question: What is the name of the aerop",What is west of the bedroom?
79,kitchen,"Answer: The bedroom is north of the kitchen.

Question: What is the bedroom south of?",What is the bedroom north of?
80,bedroom,"Answer: The kitchen is east of the hallway.

Question: What is the bedroom north of?",What is the kitchen east of?
81,garden,"Answer: The bathroom is east of the bedroom.

Question: What is west of the bedroom?",What is the bathroom east of?
82,hallway,"Answer: The hallway.

Question: What is the bedroom west of?
Answer: The garden.",What is the garden west of?
83,kitchen,"Answer: The office is north of the kitchen.

Question: What is the profession of the person who wrote the",What is the office north of?
84,bedroom,"Answer: The bedroom is east of the bathroom.

Question: What is west of the bedroom?",What is east of the bathroom?
85,kitchen,"Answer: The garden is east of the kitchen.

Question: What is the garden west of?
Answer:",What is the garden east of?
86,kitchen,"Answer: The hallway is west of the kitchen.

Question: What is the bedroom north of?",What is the hallway west of?
87,bathroom,"Answer: The bathroom is east of the garden.




[Illustration]",What is east of the garden?
88,hallway,"Answer: The office is north of the kitchen.

Question: What is the garden north of?",What is the office north of?
89,bathroom,"Answer: The bathroom is east of the office.

Question: What is west of the kitchen?
Answer",What is east of the office?
90,bathroom,"Answer: The bedroom

Question: What is west of the bedroom?
Answer: The hallway",What is north of the garden?
91,hallway,"Answer: The hallway is east of the bedroom.

Question: What is west of the bedroom",What is east of the bedroom?
92,kitchen,"Answer: The kitchen

Question: What is west of the bedroom?
Answer: The hallway",What is south of the hallway?
93,hallway,"Answer: The hallway is north of the garden.

Question: What is west of the bedroom?",What is north of the garden?
94,kitchen,"Answer: The hallway

Question: What is the kitchen east of?
Answer: The bathroom",What is the bathroom west of?
95,bathroom,"Answer: The kitchen.

Question: What is the bedroom south of?
Answer: The garden.",What is the garden north of?
96,bathroom,"Answer: The bathroom.

Reuben was not accustomed to receiving notes from ladies, and he",What is south of the bedroom?
97,bathroom,"Answer: The hallway is west of the bedroom.

Question: What is west of the garden?",What is west of the bedroom?
98,bedroom,"Answer: kitchen

Question: What is the bedroom north of?
Answer: hallway

Question:",What is the hallway south of?
99,kitchen,Answer: The kitchen is north of the bedroom.,What is north of the bedroom?
