Unnamed: 0,target,output,question
33,kitchen,"Answer: The apple is in the garden.

The tombs of Mycenæ and Orchomenos",Where is the apple? 
34,kitchen,"Answer: The apple is in the kitchen.

(Note: The apple reference seems to be a mispla",Where is the apple? 
35,office,,Where is the milk? 
36,kitchen,Answer: The football is with John.,Where is the football? 
37,kitchen,"Answer: The football is in the kitchen.
Question: Who is Frank Merriwell?
Answer: Frank Mer",Where is the football? 
38,kitchen,Answer: The football is in the kitchen.,Where is the football? 
39,bedroom,"Answer: Sandra put down the milk there.

Question: What is the name of the book where the",Where is the milk? 
40,bedroom,Answer: The milk is in the bedroom.,Where is the milk? 
41,office,"Answer: The milk is in the bedroom.

Question: What is the poem about?

Answer",Where is the milk? 
42,office,"Answer: The milk is in the kitchen.

Question: Who is the brave Gael in the text?",Where is the milk? 
43,office,"Answer: In the office.

Question: What is the name of the place where John went after leaving the",Where is the milk? 
44,kitchen,Answer: In the kitchen.,Where is the apple? 
45,bedroom,"Answer: The milk is in the bedroom.

Question: What is the capital of Armenia?",Where is the milk? 
46,office,"Answer: The football is in the bedroom.

Question: What is the context of the football being in",Where is the football? 
47,bathroom,"Answer: The football is in the bedroom.

Question: Where is the milk?

Answer:",Where is the football? 
48,bathroom,"Answer: The football is lying on the grass where the two characters, Margit and Arne, were standing.",Where is the football? 
49,bedroom,"Answer: In the bedroom.

Question: Where is the milk?

Answer: In the bed",Where is the milk? 
50,bathroom,"Answer: Daniel took the milk there.

Question: Who is the descendant of Abas?",Where is the milk? 
51,hallway,Answer: The apple is in the kitchen.,Where is the apple? 
52,kitchen,Answer: The football is in the kitchen.,Where is the football? 
53,kitchen,"Answer: The football is in the bedroom.

Question: What is the significance of the number SEV",Where is the football? 
54,kitchen,Answer: Sandra put down the football.,Where is the football? 
55,bathroom,Answer: John discarded the apple.,Where is the apple? 
56,bathroom,"Answer: The milk is with John.

Question: Who is the woman in the cloak?",Where is the milk? 
57,kitchen,"Answer: The milk is in the front room.

Question: Who is the professor's companion?",Where is the milk? 
58,kitchen,"Answer: The milk is with John in the kitchen.

Question: Who is the Queen of Flowers?",Where is the milk? 
59,bedroom,"Answer: In the kitchen.

[Transcriber's Note: The apple is mentioned in the text as being",Where is the apple? 
60,garden,"The milk is in the fridge.

The milk is in the fridge.

The milk is in the",Where is the milk? 
61,garden,Answer: John took the milk there.,Where is the milk? 
62,kitchen,"Answer: The football is with John.

Question: What is the sprite's real name?",Where is the football? 
63,kitchen,"Answer: John dropped the football.

Question: Who is the leader of the Bumwo tribe?",Where is the football? 
64,kitchen,"Answer: The football is in the garden.

Question: What is the first division of the following essay",Where is the football? 
65,kitchen,"Answer: In the kitchen.

  [35] The first family of cornices, Fig. V., is",Where is the football? 
66,kitchen,"Answer: In the hallway.

Question: Where is Mary? Answer: In the kitchen.

Question:",Where is the football? 
67,bedroom,"Answer: Daniel discarded the milk.
Question: Who is the patient with a well-balanced nervous system",Where is the milk? 
68,bedroom,"Answer: Daniel discarded the milk.

Question: What did Dr. Inglis do after she graduated from",Where is the milk? 
69,bedroom,Answer: Daniel discarded the football.,Where is the football? 
70,garden,"[17] The apple is in the garden.

  [18] The apple is in",Where is the apple? 
71,garden,"Answer: Daniel dropped the apple.

Question: Where did Sandra move to?

Answer: Sand",Where is the apple? 
72,bathroom,"Answer: On the bed. John went to the kitchen. *

     * The ""Address to the People of France",Where is the apple? 
73,bathroom,"Answer: The apple is in the garden.

Question: What was the purpose of the letter written by Pa",Where is the apple? 
74,bathroom,"Answer: The apple is in the kitchen.

Question: Who is the man who offered his services to Pa",Where is the apple? 
75,office,"Answer: In the garden.
Question: Who is the Ondercoopman?
Answer: Pieter Bol",Where is the apple? 
76,hallway,"Answer: In the kitchen.

Question: What is the purpose of the Scholarchen Commission?",Where is the milk? 
77,hallway,Answer: The milk is with Mary.,Where is the milk? 
78,hallway,Answer: Mary left the milk.,Where is the milk? 
79,hallway,Answer: Mary took the milk there.,Where is the milk? 
80,bathroom,"John moved to the garden.

     Answer: The football is in the garden.",Where is the football? 
81,bathroom,Answer: In the garden.,Where is the football? 
82,kitchen,"Answer: In the kitchen.

  [63] ""The Life of Michelangelo,"" by John Addington",Where is the football? 
83,kitchen,"Answer: The football is in the bedroom.

Question: Where is the milk?

Answer:",Where is the football? 
84,kitchen,Answer: The football is in the kitchen.,Where is the football? 
85,bathroom,"Answer: The milk is in the kitchen.

Question: What is the name of the city that the train",Where is the milk? 
86,kitchen,"Answer: The apple is on the table.
Question: Where is the milk?
Answer: The milk is in",Where is the apple? 
87,bathroom,Answer: In the office.,Where is the milk? 
88,bedroom,Answer: The football is in the kitchen.,Where is the football? 
89,kitchen,Answer: The apple is in the kitchen.,Where is the apple? 
90,kitchen,Answer: Mary picked up the milk there.,Where is the milk? 
91,kitchen,Answer: The milk is at Monmouth House.,Where is the milk? 
92,kitchen,"Answer: Mary dropped the milk in the kitchen.

Question: Who is the person that Coningsby is",Where is the milk? 
93,kitchen,- [Response]: Mary left the milk in the kitchen.,Where is the milk? 
94,kitchen,Answer: In the kitchen.,Where is the milk? 
95,bathroom,] [Footnote 668: The garden.--Ver. The garden is mentioned in the context of the narrative.],Where is the football? 
96,bathroom,"Answer: The football is in the captain's office.

Question: What is the name of the ship that",Where is the football? 
97,bathroom,Answer: The football was left behind at the old fort during the fight with Captain Villaire's party.,Where is the football? 
98,bathroom,Answer: John picked it up.,Where is the football? 
99,hallway,Answer: John discarded the milk.,Where is the milk? 
100,office,Answer: The milk is with John.,Where is the milk? 
101,office,Answer: John discarded the milk.,Where is the milk? 
102,kitchen,Answer: The milk is in the bathroom.,Where is the milk? 
103,kitchen,"Answer: John discarded the milk.

Question: Where is the office?

Answer: Mary moved",Where is the milk? 
104,bedroom,"Answer: The football is in the garden.

Question: Where is the milk?

Answer: The",Where is the football? 
105,bathroom,Answer: The football was taken by Messrs. Whitley at the Tring Park Stud sale.,Where is the football? 
106,bedroom,Answer: The milk is in the bedroom.,Where is the milk? 
107,bathroom,"Answer: The apple is in the bathroom.

Question: Where is the milk?

Answer:",Where is the apple? 
108,bedroom,"Answer: Mary put down the milk there.

Question: Who is the author of ""Die Gesellsch",Where is the milk? 
109,bathroom,Answer: Daniel dropped the apple there.,Where is the apple? 
110,bedroom,"Answer: The football is in the hallway.

Question: What is the relation between the German and English",Where is the football? 
111,bedroom,"(2) What is the name of the room where the football is found?
(3) What is the name",Where is the football? 
112,bedroom,Answer: The football is in the office.,Where is the football? 
113,bedroom,Answer: The football is with John.,Where is the football? 
114,office,Answer: The apple is with Sandra.,Where is the apple? 
115,office,Answer: The football is under a pile of skins.,Where is the football? 
116,hallway,"Answer: John grabbed the football while they were at the restaurant.

Question: What did Eleanor",Where is the football? 
117,office,"Answer: Sandra took the milk.

Question: What did Eleanor do when the dog fell into",Where is the milk? 
118,bedroom,"Answer: The milk comes from ""Cowes.""

------------------------------------------------------------------------

THE WO",Where is the milk? 
119,bathroom,"Answer: The apple is in the barn.

Question: What is the name of the Clerg",Where is the apple? 
120,hallway,"Answer: The apple is in the hallway.

Question: What is the name of the clergyman",Where is the apple? 
121,bedroom,Answer: In the cow-house.,Where is the milk? 
122,garden,"Answer: The apple is not explicitly mentioned in the text after John discarded it. However, since it was mentioned",Where is the apple? 
123,garden,"Answer: The football is in the hallway.

Question: What is the name of the meeting where O",Where is the football? 
124,garden,Answer: The football is with John.,Where is the football? 
125,kitchen,Answer: The football is with Mary.,Where is the football? 
126,kitchen,"Answer: Mary put it down.

     * ""The Girondins were arrested on October 31",Where is the football? 
127,kitchen,"Answer: The football is in the office.

Question: What is the significance of the chalk mark on",Where is the football? 
128,bedroom,"Mary went to the bedroom.

Answer: The football is in the bedroom.

The first question to",Where is the football? 
129,bedroom,"Answer: The football is in the kitchen.

Question: What is the purpose of the spur in the",Where is the football? 
130,kitchen,"Answer: The football is in the kitchen.

Question: What is the name of the town in France known",Where is the football? 
131,kitchen,"Answer: John discarded the football.

Question: Where is the milk?

Answer: Sandra",Where is the football? 
132,kitchen,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the hallway",Where is the milk? 
133,hallway,"Answer: John took the football there.

Question: What did Anna do with her earrings?",Where is the football? 
134,hallway,"Answer: The football is in the kitchen.

Question: Who is the man who is going to be a",Where is the football? 
135,office,"Answer: The football is with Mary.

Question: Who is Martin Hartog?

Answer: Martin",Where is the football? 
136,office,,Where is the milk? 
137,office,"Answer: Mary took the football.

Question: Who was the first to be killed in the battle of St",Where is the football? 
138,kitchen,"Answer: The football is in the kitchen.

Question: Who was the leader of the Patriotes at St",Where is the football? 
139,bathroom,"Answer: The football is in the hallway.

Question: Who was Thomas Paine's father?",Where is the football? 
140,bedroom,"Answer: The football is with Mr. Paine.

Question: What is the name of the man who painted",Where is the football? 
141,bedroom,Answer: The football is in the hallway.,Where is the football? 
142,bedroom,"Answer: The football is in the hallway.

Question: Who is Cecil J. Rhodes?",Where is the football? 
143,bedroom,"Answer: The football is in the hallway.

Question: Who is the leader of the ruling party",Where is the football? 
144,garden,"""The success of these efforts depends upon the weal or woe of Osteopathy.""",Where is the football? 
145,kitchen,"Answer: The apple is with John.

Question: What is the name of the machine that Carl and Jimm",Where is the apple? 
146,bathroom,"Answer: The milk is in the kitchen.

Question: What is the name of the book agent who board",Where is the milk? 
147,garden,Answer: The milk is in the garden.,Where is the milk? 
148,kitchen,Answer: The apple is in the bathroom.,Where is the apple? 
149,kitchen,"Answer: The apple is in the kitchen.

Question: Who is the man that bought the baby's",Where is the apple? 
150,bedroom,"Answer: The apple is on the floor.

Question: What is the name of the man who is going",Where is the apple? 
151,bedroom,"Answer: Sandra has the apple.

Question: What is the name of the man who is a member",Where is the apple? 
152,bedroom,"Answer: The apple is in the kitchen.

Question: Who is the man with the sallow complexion",Where is the apple? 
153,kitchen,Answer: The football is with Rodin.,Where is the football? 
154,kitchen,"Answer: The football is in the garden.

Question: What did the professor do when Frank decided to shoot",Where is the football? 
155,hallway,Answer: The football is in the kitchen.,Where is the football? 
156,hallway,"Answer: The football is with Sandra.

Question: What is the name of the girl who rescu",Where is the football? 
157,bedroom,"Answer: The milk is at the hotel.

Question: What is the name of the Frenchman who is",Where is the milk? 
158,bedroom,Answer: The milk is in the kitchen.,Where is the milk? 
159,hallway,"Answer: Sandra grabbed the football.

Question: Who is the narrator of the story?",Where is the football? 
160,garden,"Answer: The apple is in Daniel's hand.

Question: What is the name of the house where the",Where is the apple? 
161,garden,"Answer: The apple is with Daniel.

Question: What is the name of the place where the apple is?",Where is the apple? 
162,garden,Daniel went to the bedroom. The apple is on the floor. Mary went to the garden. The apple is on the,Where is the apple? 
163,garden,Answer: Daniel left the apple.,Where is the apple? 
164,bedroom,"Answer: In the kitchen.



325. THE PRAIRIE FARM",Where is the football? 
165,garden,"Answer: The football is in Daniel's pocket.

Question: What is the name of the village where Dr",Where is the football? 
166,garden,"Answer: Daniel is playing with the football.

Question: What is the color of the frock Margaret is",Where is the football? 
167,hallway,"Answer: The apple is on the floor.

Question: What is the color of the dress Eleanor",Where is the apple? 
168,hallway,"Answer: Daniel picked up the apple there.
Question: Where is the football?
Answer: Daniel discarded the",Where is the apple? 
169,office,"Answer: The football is in the hallway.

Question: Where is the apple?

Answer:",Where is the football? 
170,bedroom,"Answer: The apple is with Red and savage, who threw it into the sea.",Where is the apple? 
171,bathroom,Answer: The apple is in the room where Rudolph and Heywood are having a conversation. Rudolph had picked,Where is the apple? 
172,hallway,"Answer: The milk is in the hallway.

Question: What is the significance of the milk in the story",Where is the milk? 
173,hallway,"Answer: The milk is in the kitchen.

Question: What is the name of the ship that was lost?",Where is the milk? 
174,bathroom,"Answer: The apple is in the hallway.

Question: Who is Cluyme?

Answer",Where is the apple? 
175,kitchen,"Answer: The milk is in the bathroom.

Question: What is the name of the book that Mary",Where is the milk? 
176,hallway,"Answer: The apple is with Mary.

Question: What is the name of the man who brought the apple",Where is the apple? 
177,kitchen,"Answer: Mary got the apple at the picnic at Sucker Brook.

Question: What did Grandm",Where is the apple? 
178,office,"Answer: Mary got the milk there.

Question: Who is the young man that Stephen met in the street car",Where is the milk? 
179,office,Answer: The milk was discarded by Mr. Mary.,Where is the milk? 
180,garden,"Answer: The milk is at the Arsenal.

Question: What is the name of the boat that",Where is the milk? 
181,garden,,Where is the milk? 
182,garden,"Answer: The milk is in the kitchen.

Question: What did the lady give the narrator for her",Where is the milk? 
183,kitchen,"Answer: The apple is dropped by John.

Question: Who is the Duke of Albany?",Where is the apple? 
184,kitchen,Answer: The apple is in the kitchen.,Where is the apple? 
185,office,Answer: The apple is in Mary's hand.,Where is the apple? 
186,office,"Answer: The apple is in the kitchen.

Question: Who is the little old lady?

Answer",Where is the apple? 
187,kitchen,"Answer: The milk is in the bedroom.

Question: Who is the man with the gray moust",Where is the milk? 
188,office,"Answer: The apple is with Mary. She put it down when she heard Alfred's voice.

Question",Where is the apple? 
189,kitchen,Answer: The milk is with Sandra.,Where is the milk? 
190,garden,Answer: Daniel is holding the apple.,Where is the apple? 
191,garden,"Answer: The apple is in Daniel's possession.

Question: What is the significance of the apple in",Where is the apple? 
192,garden,"Answer: Daniel is holding the apple.

Question: What is Jessica's plan for the Resting",Where is the apple? 
193,bedroom,"Answer: Daniel picked it up.

Question: Who is the girl that fainted and was brought to the",Where is the milk? 
194,bedroom,"Daniel dropped the milk there.

(34) The first Parliament of the Commonwealth was called by the Commonwealth
C",Where is the milk? 
195,bathroom,"Answer: The apple is on the floor of the room.

Question: What is the name of the girl",Where is the apple? 
196,bathroom,"Answer: The apple is with John in the garden.

Question: What is the girl's opinion about",Where is the apple? 
197,garden,"Answer: At the lake.

Question: What did the Supervisor do when he returned to the camp after the",Where is the milk? 
198,kitchen,"Answer: In the refrigerator.

THE BLUE BIRD AND THE BLACK BIR",Where is the milk? 
199,kitchen,"Answer: In the kitchen.

Question: Who is the author of ""The Squirrel-C",Where is the milk? 
200,office,"Answer: The milk is in the refrigerator.

Question: What is the name of the hotel",Where is the milk? 
201,office,### response: The milk is in the refrigerator.,Where is the milk? 
202,hallway,Answer: The milk is in the garden.,Where is the milk? 
203,garden,"Answer: The milk is in the kitchen.

Question: What is the name of the girl who is the",Where is the milk? 
204,garden,"[Note 1] A small gunboat.

Answer: Mary put down the milk there.",Where is the milk? 
205,office,Answer: Daniel left the milk.,Where is the milk? 
206,office,"Answer: Daniel got the milk there.

Question: What did General Gordon do when he arrived in London at",Where is the milk? 
207,garden,"Answer: The apple is in the kitchen.

Question: Who is the tall girl with bright auburn",Where is the apple? 
208,bathroom,"Answer: The milk is in the boat.

Question: What is the name of the Clergyman",Where is the milk? 
209,bathroom,Answer: The milk is in the yard.,Where is the milk? 
210,kitchen,Answer: The football is in the kitchen.,Where is the football? 
211,kitchen,Answer: The football is with Mary in the bathroom.,Where is the football? 
212,kitchen,Answer: The football is at Nightingale's house.,Where is the football? 
213,kitchen,"Answer: In the garden.

Question: What did Mary do after she picked up the football?",Where is the milk? 
214,garden,"Answer: The football is in the garden.

Question: What is the name of the boat that the Brown",Where is the football? 
215,office,"Answer: John picked up the apple there.
Question: What is the price of the book ""The Home Book of",Where is the apple? 
216,office,"Answer: The apple is in the bedroom.

Question: Where is the football?

Answer:",Where is the apple? 
217,office,"Answer: John put the apple there.

Question: Where is the bedroom?

Answer: Mary",Where is the apple? 
218,bathroom,Answer: Mary put down the milk in the kitchen.,Where is the milk? 
219,bathroom,Answer: The milk is in the garden.,Where is the milk? 
220,office,"Answer: The apple is on the floor in suggestively revealing folds.

Question: What is the",Where is the apple? 
221,office,Answer: The apple is in the Visitor Book of the Hotel Union at R----.,Where is the apple? 
222,office,"Answer: John had an apple in his hand.

Question: What did John do with the apple?",Where is the apple? 
223,bedroom,"Answer: The milk is in the fridge.

Question: Where is the apple?

Answer:",Where is the milk? 
224,bedroom,"Answer: John discarded the apple.

Question: Who is the man with the matted hair and toes",Where is the apple? 
225,bedroom,"Answer: The apple is on the ground.

Question: What is the name of the bird that is described",Where is the apple? 
226,kitchen,"Answer: Sandra picked it up.

Question: What is the main argument of De Maistre's",Where is the apple? 
227,garden,Answer: Mary grabbed the football there.,Where is the football? 
228,bathroom,"Answer: In the bathroom.

The story of Osiris is very similar to that of the Mayas.",Where is the milk? 
229,garden,"Answer: The football is on the floor.

Question: What is the name of the place where the two boys are",Where is the football? 
230,bathroom,"Answer: Sandra grabbed the football there.

Question: What is the name of the room Sandra went",Where is the football? 
231,bathroom,"Answer: The garden.

Question: Where did Sandra go? Answer: The bathroom.

Question:",Where is the football? 
232,bathroom,Answer: The football is in the garden.,Where is the football? 
233,garden,Answer: The apple is there.,Where is the apple? 
234,bathroom,"Answer: The football is in the hallway.

Question: What did the rebels do when they arrived",Where is the football? 
235,bedroom,"Answer: The apple is with Daniel.

Question: What is the name of the place where the apple is",Where is the apple? 
236,bedroom,Answer: The apple is with Johnnie.,Where is the apple? 
237,kitchen,Answer: The football is in the hallway.,Where is the football? 
238,office,"Answer: The apple is in the hallway.

Question: Where is the football?

Answer:",Where is the apple? 
239,garden,"Answer: The milk is in the kitchen.

Question: What is the name of the village where the c",Where is the milk? 
240,hallway,"Answer: The apple is in the basket that Mary picked up.

Question: What is the Norwegian's",Where is the apple? 
241,hallway,"Answer: The apple is in the garden, under the apple trees at the foot of the garden.",Where is the apple? 
242,kitchen,Answer: In the kitchen.,Where is the apple? 
243,bathroom,"Answer: Mary picked up the apple at the hallway.
Question: Who is the captain of the First Minnesota battery",Where is the apple? 
244,bathroom,Answer: The apple is in the hallway.,Where is the apple? 
245,hallway,Answer: In the refrigerator. John went back to the hallway. It was a mistake to shell the corn,Where is the milk? 
246,garden,"Answer: In the refrigerator.

The following advertisement is from the Chicago Tribune,",Where is the milk? 
247,garden,"Answer: Daniel got the milk.

Question: What is the name of the person who proposed the court mart",Where is the milk? 
248,garden,Answer: The football is with Daniel.,Where is the football? 
249,garden,Answer: The football is in the hands of Daniel.,Where is the football? 
250,bathroom,"Answer: The apple is in the square yard that borders the highway where Carlotta Harrison sat, posed over",Where is the apple? 
251,hallway,Answer: The apple is in the pocket of the violinist.,Where is the apple? 
252,hallway,Answer: Daniel left the apple.,Where is the apple? 
253,hallway,,Where is the apple? 
254,hallway,"Answer: The apple is in the hallway.
Question: Where is the football?
Answer: The football is",Where is the apple? 
255,bathroom,"Answer: Daniel grabbed the milk there.

Question: What did Carmen do when she saw the",Where is the milk? 
256,kitchen,Answer: The apple is in the kitchen.,Where is the apple? 
257,hallway,Answer: The apple is put down by Sandra in the hallway.,Where is the apple? 
258,hallway,"Answer: The apple is in the hallway.

Question: Who is the man with the gray moust",Where is the apple? 
259,hallway,"Answer: The apple is with Daniel.

Question: Who is the owner of the house where the interview takes",Where is the apple? 
260,garden,Answer: The football is in the kitchen.,Where is the football? 
261,garden,Answer: The football is in the garden.,Where is the football? 
262,garden,"Answer: The football is in the bathroom.

Question: Who is the man with the yellow complexion",Where is the football? 
263,bathroom,"Answer: The apple is on the end of the table.

Question: What is the color of the flower",Where is the apple? 
264,hallway,Answer: The apple is in the hallway.,Where is the apple? 
265,garden,Answer: The apple is in the bathroom.,Where is the apple? 
266,garden,"The apple is in the hands of the page Eviot.

    The apple is in the hands",Where is the apple? 
267,bathroom,"""The surgeon who is not fitted by nature for the work, who does not take the time",Where is the apple? 
268,bathroom,Solution: The apple is in the bathroom.,Where is the apple? 
269,garden,Answer: The apple is in the bathroom.,Where is the apple? 
270,kitchen,Solution: The football is with John.,Where is the football? 
271,office,Answer: John took the apple there.,Where is the apple? 
272,office,"Answer: The apple is at the office.

Question: What is the name of the school that Conings",Where is the apple? 
273,kitchen,Answer: John left the football there.,Where is the football? 
274,office,"Answer: John put down the milk.

Question: What is the name of the village where the narrator lived",Where is the apple? 
275,hallway,"Answer: Sandra put down the milk.

The milk is not mentioned in the context of the question,",Where is the milk? 
276,hallway,"Answer: Sandra put down the milk.

Question: What is the title of the book by E.",Where is the milk? 
277,hallway,"Answer: The milk is in the kitchen.

Question: Who is the author of the poem ""Die un",Where is the milk? 
278,kitchen,"Answer: The apple is in the kitchen.
Question: Where is the milk?
Answer: The milk is in",Where is the apple? 
279,kitchen,"Answer: The apple is in the kitchen.

Question: What is the main concern regarding the churches and buildings",Where is the apple? 
280,bathroom,"Answer: The football is in the garden.




THE MERIDIAN. [Footnote",Where is the football? 
281,bathroom,"Answer: The football is in the garden.

Question: Where is Daniel?

Answer: Daniel is",Where is the football? 
282,office,"Answer: The milk is in the kitchen.

Question: Where is the apple?

Answer: The",Where is the milk? 
283,office,Answer: In the kitchen.,Where is the milk? 
284,office,"Answer: The milk is in the kitchen.

Context: ""Daniel journeyed to the kitchen. John,",Where is the milk? 
285,bedroom,Answer: The football is in the garden.,Where is the football? 
286,bedroom,Answer: The football is in the garden.,Where is the football? 
287,bedroom,"Answer: In the garden.

XLVII., Fig. 1. The general outline of the apert",Where is the football? 
288,bedroom,"Answer: The football is in the bedroom.

Question: What is the name of the stone that Grand",Where is the football? 
289,bedroom,"Answer: The football is with Mr. E. M. Morse.

Question: What did Anna and Alice",Where is the football? 
290,office,"Answer: Daniel took the apple there.
Question: What did Anna do after she fell down the stairs?",Where is the apple? 
291,office,Answer: The apple is with Mary.,Where is the apple? 
292,office,"Answer: The apple is dropped by Daniel.

Question: What is the significance of the apple in the story?",Where is the apple? 
293,office,"Answer: The apple is with Daniel.

Question: What is the name of the man who brought books to",Where is the apple? 
294,bedroom,Answer: The milk is in the bathroom.,Where is the milk? 
295,hallway,"Answer: The milk is on the City Wall.

Question: Who is the author of the poem ""L",Where is the milk? 
296,hallway,Answer: The football is at the bedroom.,Where is the football? 
297,hallway,"Answer: The milk is in the kitchen.

Question: Where did John put the football?

Answer",Where is the milk? 
298,bathroom,"Answer: On the bed.



The apple is on the bed.



The apple",Where is the apple? 
299,bathroom,"Answer: In the kitchen.
Question: Where is Sandra?
Answer: In the bedroom.
Question",Where is the apple? 
300,bedroom,Answer: Mary took the football there.,Where is the football? 
301,bedroom,Answer: Mary took the football there.,Where is the football? 
302,office,Answer: The football is in the office.,Where is the football? 
303,bedroom,"Answer: The football is in the garden.
Question: Who is the judge?
Answer: The judge is Judge",Where is the football? 
304,bedroom,"Answer: Mary has it. [Illustration: _Mary holding the football._]

The boy had a very good",Where is the football? 
305,bathroom,"Answer: The milk is in the refrigerator.

Question: What is the result of the boy",Where is the milk? 
306,bathroom,"Answer: The milk is in Mary's house.

Question: What is the significance of the stag in",Where is the milk? 
307,bathroom,"Answer: The milk is in the bathroom.

Question: Who is the father of the soldier's",Where is the milk? 
308,bathroom,"Answer: The milk is in the kitchen.

Question: Who is the King?

Answer: The",Where is the milk? 
309,bathroom,"Answer: The milk is in the garden.

Question: Who is the brave warrior that led the way",Where is the milk? 
310,kitchen,"Answer: The milk is in the cow's udder.

Question: What is the milkman doing",Where is the milk? 
311,kitchen,"Answer: The milk is in Mary's hands.

Question: Who is the author of the poem """,Where is the milk? 
312,kitchen,"In the kitchen.

   In the hallway.

   In the bedroom.",Where is the milk? 
313,kitchen,"Answer: In the kitchen.

Question: Where is the apple?

Answer: In the garden.",Where is the milk? 
314,kitchen,Answer: In the kitchen.,Where is the milk? 
315,bathroom,Answer: In the kitchen.,Where is the football? 
316,bathroom,Answer: The football is in the bedroom.,Where is the football? 
317,bathroom,Answer: The football is in the bathroom.,Where is the football? 
318,office,"Answer: The milk is in the office.

Question: Who is the chauffeur?

Answer",Where is the milk? 
319,kitchen,"Answer: The football is in the bedroom.

Question: Where is Mary?

Answer: Mary",Where is the football? 
320,bathroom,"Answer: The football is in the garden.

Question: What is the name of the housekeeper?",Where is the football? 
321,bathroom,"Answer: The football is in the garden.

Question: What is the name of the tower where Lady Margaret",Where is the football? 
322,bathroom,Answer: The football is with John.,Where is the football? 
323,bathroom,"Answer: The football is with John.

Question: What is the name of the inn where Gabriel stayed?",Where is the football? 
324,bathroom,Answer: The football is with John.,Where is the football? 
325,bathroom,Answer: The apple is in the garden.,Where is the apple? 
326,bathroom,"Answer: The apple is in the garden.

The apple is in the garden because Sandra went to the",Where is the apple? 
327,garden,"Answer: Daniel has discarded the football.

Question: Who is the stranger that John encounters?",Where is the football? 
328,garden,"Answer: The football is in the garden.
Question: Where is the apple?
Answer: The apple is in",Where is the football? 
329,garden,"Answer: The football is in the garden.

Question: Who is the person with a scornful smile?",Where is the football? 
330,garden,"Answer: The football is with Mary, who is sitting in a window.
Question: What is the name of the",Where is the football? 
331,bathroom,Answer: The apple is in the bathroom.,Where is the apple? 
332,bathroom,"Answer: The apple is in the kitchen garden.
Question: What is the name of the bronze dog?
Answer",Where is the apple? 
333,hallway,"Answer: The football is with Mary.

Question: What is the color of the dresses the girls at",Where is the football? 
334,hallway,"Answer: The football is in the kitchen.

Question: What is the name of the church in Lizard",Where is the football? 
335,hallway,"Answer: The football was dropped at the Bellows.

Question: What is the name of the church built",Where is the football? 
336,hallway,"Answer: The football is in the hallway.

Question: What is the name of the place where the",Where is the football? 
337,hallway,Answer: Mary picked up the football.,Where is the football? 
